大項目,中項目,小項目,各部位,部所
塗装,外部,手摺類,隔板,隔板
塗装,外部,樋類,軒樋,掴み金物類
塗装,外部,樋類,竪樋,あんこう、ドレイン、
塗装,外部,樋類,竪樋,接続チーズ、掃除口
塗装,外部,屋外廊下,,葺材本体
塗装,外部,屋外廊下,,小屋材
塗装,外部,屋外廊下,,柱・梁
塗装,外部,屋外廊下,,床モルタル等
塗装,外部,屋外廊下,,exJ
塗装,外部,屋外階段,,鉄骨本体
塗装,外部,屋外階段,,溶接箇所
塗装,外部,屋外階段,,ボルト類
塗装,外部,屋外金物類,,タラップ
塗装,外部,屋外金物類,,設備架台類
塗装,外部,屋外金物類,,アンテナ類
塗装,外部,屋外金物類,,物干金物類、吊ボルト類
塗装,外部,屋外金物類,,換気孔類
設備,,給排水設備,給水管類,埋設管
設備,,給排水設備,給水管類,引込露出管
設備,,給排水設備,給水管類,竪管
設備,,給排水設備,給水管類,メーター
設備,,給排水設備,ポンプ類,ポンプ
設備,,給排水設備,ポンプ類,制御盤類
設備,,給排水設備,ポンプ類,受水槽
設備,,給排水設備,ポンプ類,高架水槽
設備,,給排水設備,排水管類,排水管類
設備,,給排水設備,排水管類,マンホール
設備,,給排水設備,排水管類,排水桝
設備,,電気設備,電灯幹線類,引込み
設備,,電気設備,電灯幹線類,ハンドホール
設備,,電気設備,電灯幹線類,ＥＰＳ
設備,,電気設備,電灯幹線類,管
設備,,電気設備,電灯幹線類,線ケーブル
設備,,電気設備,動力設備,引込み
設備,,電気設備,動力設備,ハンドホール
設備,,電気設備,動力設備,管
設備,,電気設備,動力設備,線ケーブル
設備,,電気設備,電話設備,引込み
設備,,電気設備,電話設備,ハンドホール
設備,,電気設備,電話設備,ＥＰＳ
設備,,電気設備,電話設備,管
設備,,電気設備,電話設備,線ケーブル
設備,,電気設備,アンテナ,
